Survived,Pclass,Sex,Age,Fare,Embarked,FamilySize,Name_length,IsAlone,Title
0,3,1,1,-0.4526479785785793,0,0,-0.4274512701485322,0,1
1,1,0,2,0.9296936945476773,1,0,2.590962057806627,0,3
1,3,0,1,-0.43807617563604434,0,0,-0.5352517461469307,1,2
1,1,0,2,0.5371552287032392,0,0,1.836358725817837,0,3
0,3,1,2,-0.435377693609649,0,0,-0.31965079415013364,1,1
0,3,1,1,-0.4265633719186312,2,0,-1.182054602137322,1,1
0,1,1,3,0.5104402566419249,0,0,-0.4274512701485322,1,1
0,3,1,0,-0.5875720798983474,0,5,0.3271520618402576,0,4
1,3,0,1,-0.3688158565537705,0,0,2.37536110580983,0,3
1,2,0,0,0.0400041704451267,1,0,0.8661544418322503,0,3
1,3,0,0,-0.24864273738309003,0,0,0.4349525378386561,0,2
1,1,0,3,-0.03600235370313555,0,0,-0.31965079415013364,1,2
0,3,1,1,-0.435377693609649,0,0,0.3271520618402576,1,1
0,3,1,2,-0.5875720798983474,0,7,0.003750633845061978,0,1
0,3,0,0,-0.43960459585579476,0,0,0.9739549178306488,1,2
1,2,0,3,-0.26375423673090403,0,0,0.5427530138370547,1,3
0,3,1,0,-0.5875720798983474,2,6,-0.7508526981437278,0,4
1,2,1,1,-0.32851780536439273,0,0,0.11155110984346052,1,1
0,3,0,1,-0.22057852430857827,0,0,3.022163961800221,0,3
1,3,0,1,-0.45318767498385837,1,0,-0.4274512701485322,1,3
0,2,1,2,-0.04787567461927516,0,0,-0.7508526981437278,1,1
1,2,1,2,-0.32851780536439273,0,0,-0.6430522221453293,1,1
1,3,0,0,-0.43582672101884123,2,0,0.003750633845061978,1,2
1,1,1,1,0.1572089593867723,0,0,0.11155110984346052,1,1
0,3,0,0,-0.5875720798983474,0,5,0.21935158584185907,0,2
1,3,0,2,-0.5875720798983474,0,7,3.2377649137970184,0,3
0,3,1,1,-0.45318767498385837,1,0,-0.4274512701485322,1,1
0,1,1,1,-0.5875720798983474,0,6,0.3271520618402576,0,1
1,3,0,1,-0.43906489945051563,2,0,0.21935158584185907,1,2
0,3,1,1,-0.4387065410374103,0,0,-0.8586531741421264,1,1
0,1,1,2,-0.010727291651106047,1,0,-0.31965079415013364,1,5
1,1,0,1,2.5539100262350454,1,0,2.0519596778146343,0,3
1,3,0,1,-0.44185405047299786,2,0,-0.31965079415013364,1,2
0,2,1,4,-0.38248744589229994,0,0,-0.6430522221453293,1,1
0,1,1,1,1.1647314790467131,1,0,-0.4274512701485322,0,1
0,1,1,2,0.5134085868709599,0,0,0.3271520618402576,0,1
1,3,1,1,-0.45309700598777153,1,0,-1.182054602137322,1,1
0,3,1,1,-0.435377693609649,0,0,-0.31965079415013364,1,1
0,3,0,1,-0.22057852430857827,0,0,0.7583539658338517,0,2
1,3,0,0,-0.36647573294048036,1,0,0.003750633845061978,0,2
0,3,0,2,-0.4046149985087419,0,0,2.0519596778146343,0,3
0,2,0,1,-0.1558149556750896,0,0,3.1299644377986198,0,3
0,3,1,1,-0.4387065410374103,1,0,-0.8586531741421264,1,1
1,2,0,0,0.2884458548656737,1,0,1.405156821824243,0,2
1,3,0,1,-0.43906489945051563,2,0,0.21935158584185907,1,2
0,3,1,1,-0.435377693609649,0,0,-0.31965079415013364,1,1
0,3,1,1,-0.2745481648364855,2,0,-1.0742541261389233,0,1
1,3,0,1,-0.44185405047299786,2,0,-0.2118503181517351,1,2
0,3,1,1,-0.14115248373646774,1,0,-0.8586531741421264,0,1
0,3,0,1,-0.22489609555081083,0,0,1.9441592018162357,0,3
0,3,1,0,-0.5875720798983474,0,6,-0.10404984215333657,0,4
0,3,1,1,-0.44077465766243973,0,0,0.11155110984346052,1,1
1,1,0,3,1.0472590006880493,1,0,1.405156821824243,0,3
1,2,0,1,-0.04787567461927516,0,0,2.483161581808228,0,3
0,1,1,4,0.7288381215733967,1,0,0.3271520618402576,0,1
1,1,1,1,0.1572089593867723,0,0,-1.0742541261389233,1,1
1,2,0,1,-0.38248744589229994,0,0,-1.0742541261389233,1,2
0,3,1,1,-0.45309700598777153,1,0,-0.8586531741421264,1,1
1,2,0,0,-0.010096926249740103,0,0,0.11155110984346052,0,2
0,3,1,0,-0.5875720798983474,0,8,0.7583539658338517,0,4
0,3,1,1,-0.45309700598777153,1,0,-0.6430522221453293,1,1
1,1,0,2,1.1178685607835208,0,0,-0.8586531741421264,1,2
0,1,1,2,1.1928863611173117,0,0,0.003750633845061978,0,1
0,3,1,0,-0.5875720798983474,0,6,-0.6430522221453293,0,4
0,1,1,1,-0.010727291651106047,1,0,-0.6430522221453293,1,1
1,3,1,1,-0.2800357978853631,1,0,-0.31965079415013364,0,4
1,2,0,1,-0.38248744589229994,0,0,0.11155110984346052,1,3
0,3,1,1,-0.43303972878198005,0,0,-0.31965079415013364,1,1
1,3,0,1,-0.5875720798983474,0,7,0.4349525378386561,0,2
0,3,1,1,-0.4221551316803117,0,0,-1.0742541261389233,0,1
0,2,1,1,-0.38248744589229994,0,0,-0.10404984215333657,1,1
0,3,0,0,-0.5875720798983474,0,8,-0.10404984215333657,0,2
0,2,1,1,0.9775474954109621,0,0,-0.7508526981437278,1,1
0,3,1,1,-0.29712474486211965,1,0,0.003750633845061978,0,1
1,3,1,1,0.6104632708251061,0,0,-1.5054560301325175,1,1
0,3,1,1,-0.4440128360941142,0,0,-0.4274512701485322,1,1
0,3,1,1,-0.4387065410374103,0,0,-1.0742541261389233,1,1
0,3,1,1,-0.435377693609649,0,0,-0.31965079415013364,1,1
1,2,1,0,0.01688789401421351,0,0,0.21935158584185907,0,4
1,3,0,1,-0.33985142987525324,0,0,-0.31965079415013364,1,2
0,3,1,1,-0.41486923020904426,0,0,-0.7508526981437278,1,1
1,3,1,1,-0.4040753021034628,0,0,0.003750633845061978,1,1
1,3,0,1,-0.44104450586507926,2,0,0.3271520618402576,1,2
0,1,1,1,0.40762809143626183,0,0,-0.4274512701485322,1,1
1,2,0,1,-0.38248744589229994,0,0,-0.8586531741421264,1,2
1,3,0,2,-0.2669924151625785,0,0,3.022163961800221,0,3
0,3,1,0,-0.5875720798983474,0,5,-0.5352517461469307,0,1
0,3,1,1,-0.435377693609649,0,0,0.21935158584185907,1,1
1,1,0,1,-0.5875720798983474,0,6,-0.10404984215333657,0,2
0,3,1,1,-0.435377693609649,0,0,-0.5352517461469307,1,1
0,3,1,1,-0.435377693609649,0,0,-0.7508526981437278,1,1
0,3,1,1,-0.43960459585579476,0,0,-0.10404984215333657,1,1
0,1,1,2,0.7114771676083794,0,0,0.003750633845061978,0,1
0,3,1,1,-0.16498979456483384,0,0,-0.4274512701485322,0,1
0,3,1,3,-0.4526479785785793,0,0,-1.0742541261389233,1,1
0,3,1,1,-0.435377693609649,0,0,0.003750633845061978,1,1
